2017-02-02 16:02:06 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Layouts/Base.html | Строка 18 | An exception has been thrown during the rendering of a template ("DateTime::__construct(): Failed to parse time string (Y-m-d H:s:i) at position 1 (-): Unexpected character").
2017-02-02 16:02:14 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Layouts/Base.html | Строка 18 | Unexpected character ";".
2017-02-02 16:02:57 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Layouts/Base.html | Строка 18 | Unexpected token "punctuation" of value "|".
2017-02-02 16:02:06 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Layouts/Base.html | Строка 18 | An exception has been thrown during the rendering of a template ("DateTime::__construct(): Failed to parse time string (data) at position 0 (d): The timezone could not be found in the database").
2017-02-25 20:02:41 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-25 20:02:48 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-25 20:02:57 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-25 20:02:01 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-26 11:02:54 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\Favicon.ico не найден
2017-02-26 11:02:10 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-26 11:02:13 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-26 11:02:06 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-26 11:02:24 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-26 11:02:41 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-26 11:02:12 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-26 11:02:14 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-26 11:02:32 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-26 11:02:49 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-26 11:02:51 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-26 11:02:26 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-26 11:02:11 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-26 11:02:23 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-26 11:02:33 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-26 11:02:28 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-26 11:02:44 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-26 11:02:05 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-26 11:02:40 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-26 11:02:52 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-26 11:02:24 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/Admin/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-26 12:02:34 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\%22 не найден
2017-02-26 12:02:32 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\%22 не найден
2017-02-26 12:02:03 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\%22 не найден
2017-02-26 12:02:34 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\%22 не найден
2017-02-26 12:02:26 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\%22 не найден
2017-02-26 12:02:34 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\%22 не найден
2017-02-26 12:02:41 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\%22 не найден
2017-02-26 12:02:50 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\%22 не найден
2017-02-26 12:02:01 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\%22 не найден
2017-02-26 12:02:10 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\%22 не найден
2017-02-26 12:02:26 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\%22 не найден
2017-02-28 18:02:54 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\Favicon.ico не найден
2017-03-04 13:03:06 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\Favicon.ico не найден
2017-03-05 16:03:26 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\Favicon.ico не найден
2017-03-06 15:03:45 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\Favicon.ico не найден
2017-03-07 11:03:38 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\Favicon.ico не найден
2017-03-07 14:03:30 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\Favicon.ico не найден
2017-03-08 10:03:07 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\Favicon.ico не найден
2017-03-08 15:03:34 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\Favicon.ico не найден
2017-03-09 10:03:48 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\Favicon.ico не найден
2017-03-09 13:03:12 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\Favicon.ico не найден
2017-03-09 17:03:43 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\Favicon.ico не найден
2017-03-09 18:03:59 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\Favicon.ico не найден
2017-03-10 16:03:05 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\Favicon.ico не найден
2017-03-11 12:03:43 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\Favicon.ico не найден
2017-03-12 09:03:03 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\Favicon.ico не найден
2017-03-12 14:03:28 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\Favicon.ico не найден
2017-03-13 11:03:31 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\Favicon.ico не найден
2017-03-13 11:03:26 | Уровень error | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Db.php | Строка 71 | Ошибка в запросе SELECT * FROM news ORDER BY id DESCSQLSTATE[42S02]: Base table or view not found: 1146 Table 'sevenWind.news' doesn't exist
2017-03-13 11:03:32 | Уровень error | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Db.php | Строка 71 | Ошибка в запросе SELECT * FROM news ORDER BY id DESCSQLSTATE[42S02]: Base table or view not found: 1146 Table 'sevenWind.news' doesn't exist
2017-03-13 11:03:09 | Уровень error | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Db.php | Строка 71 | Ошибка в запросе SELECT * FROM news ORDER BY id DESCSQLSTATE[42S02]: Base table or view not found: 1146 Table 'sevenWind.news' doesn't exist
